iter	Passed	Remaining
0	6	1280
1	13	1319
2	17	1142
3	22	1081
4	29	1141
5	32	1062
6	37	1034
7	42	1022
8	46	978
9	50	952
10	53	922
11	57	906
12	61	882
13	65	867
14	68	842
15	71	823
16	75	815
17	79	798
18	82	785
19	86	775
20	90	774
21	94	761
22	97	751
23	101	747
24	112	789
25	116	778
26	119	765
27	123	757
28	127	751
29	130	741
30	134	732
31	137	723
32	142	718
33	145	712
34	149	702
35	152	695
36	156	690
37	161	686
38	164	678
39	167	670
40	171	665
41	175	658
42	178	651
43	181	643
44	185	637
45	189	635
46	195	638
47	199	632
48	203	626
49	207	622
50	213	623
51	219	623
52	224	621
53	234	634
54	240	634
55	246	634
56	256	644
57	264	646
58	270	647
59	276	644
60	280	639
61	283	632
62	288	626
63	291	619
64	295	614
65	315	640
66	318	633
67	322	625
68	325	617
69	329	611
70	333	605
71	337	599
72	340	593
73	344	587
74	348	581
75	352	574
76	355	568
77	359	561
78	363	556
79	366	549
80	369	543
81	373	537
82	376	531
83	380	525
84	383	518
85	386	512
86	390	506
87	395	503
88	399	498
89	403	492
90	406	486
91	410	481
92	413	475
93	420	474
94	425	470
95	429	465
96	433	460
97	437	455
98	442	451
99	446	446
100	449	440
101	452	434
102	457	430
103	461	425
104	464	420
105	468	415
106	472	410
107	476	405
108	480	400
109	483	395
110	486	390
111	490	385
112	493	380
113	497	375
114	500	369
115	505	365
116	508	361
117	527	366
118	531	362
119	535	357
120	539	352
121	542	347
122	545	341
123	549	336
124	553	332
125	557	327
126	560	322
127	563	317
128	568	312
129	571	307
130	575	303
131	578	298
132	582	293
133	585	288
134	589	283
135	592	278
136	595	273
137	600	269
138	603	265
139	606	260
140	610	255
141	614	251
142	619	246
143	622	242
144	627	237
145	631	233
146	634	228
147	639	224
148	643	220
149	647	215
150	650	211
151	654	206
152	657	202
153	662	197
154	680	197
155	684	192
156	687	188
157	690	183
158	728	187
159	734	183
160	738	178
161	743	174
162	747	169
163	755	165
164	766	162
165	770	157
166	816	161
167	820	156
168	824	151
169	853	150
170	857	145
171	861	140
172	865	135
173	869	129
174	875	125
175	878	119
176	881	114
177	884	109
178	889	104
179	907	100
180	911	95
181	915	90
182	918	85
183	924	80
184	928	75
185	931	70
186	935	65
187	939	59
188	943	54
189	947	49
190	950	44
191	955	39
192	959	34
193	962	29
194	966	24
195	970	19
196	974	14
197	978	9
198	981	4
199	985	0
